filename,model_name,assistant_turns,tool_calls,sounding_requests,prediction_days
agent_interaction_deepseek_deepseek-r1_20250409.log,deepseek_deepseek-r1,27,22,6,14
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250327.log,google_gemini-2.5-pro-preview-03-25,7,24,1,32
agent_interaction_openai_gpt-4.1_20250407.log,openai_gpt-4.1,14,33,4,36
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250327.log,anthropic_claude-3.7-sonnet:thinking,19,19,3,39
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250401.log,google_gemini-2.5-pro-preview-03-25_soundings_0,9,15,0,38
agent_interaction_openai_o3_20250322.log,openai_o3,18,18,0,40
agent_interaction_openai_o3_soundings_0_20250323.log,openai_o3_soundings_0,2,2,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250323.log,google_gemini-2.5-flash-preview:thinking,2,1,0,16
agent_interaction_deepseek_deepseek-r1_soundings_0_20250327.log,deepseek_deepseek-r1_soundings_0,4,1,0,14
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250409.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,17,17,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250402.log,google_gemini-2.5-flash-preview:thinking_soundings_0,3,26,0,20
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250325.log,anthropic_claude-3.7-sonnet_soundings_0,13,13,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250331.log,anthropic_claude-3.7-sonnet_soundings_0,14,14,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250319.log,anthropic_claude-3.7-sonnet_soundings_0,17,17,0,40
agent_interaction_anthropic_claude-3.7-sonnet_20250406.log,anthropic_claude-3.7-sonnet,26,26,8,40
agent_interaction_anthropic_claude-3.7-sonnet_20250407.log,anthropic_claude-3.7-sonnet,22,22,5,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250318.log,anthropic_claude-3.7-sonnet_soundings_0,16,16,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250330.log,anthropic_claude-3.7-sonnet_soundings_0,18,18,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250324.log,anthropic_claude-3.7-sonnet_soundings_0,16,16,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250408.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,20,20,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250403.log,google_gemini-2.5-flash-preview:thinking_soundings_0,3,20,0,20
agent_interaction_deepseek_deepseek-r1_soundings_0_20250326.log,deepseek_deepseek-r1_soundings_0,40,1,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250322.log,google_gemini-2.5-flash-preview:thinking,4,34,7,16
agent_interaction_openai_o3_soundings_0_20250322.log,openai_o3_soundings_0,10,9,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250326.log,anthropic_claude-3.7-sonnet:thinking,28,28,7,39
agent_interaction_openai_o3_20250323.log,openai_o3,7,7,0,40
agent_interaction_openai_gpt-4.1_20250406.log,openai_gpt-4.1,14,32,6,36
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250326.log,google_gemini-2.5-pro-preview-03-25,6,18,1,32
agent_interaction_deepseek_deepseek-r1_20250408.log,deepseek_deepseek-r1,34,38,4,14
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250318.log,google_gemini-2.5-pro-preview-03-25,3,2,0,32
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250330.log,google_gemini-2.5-pro-preview-03-25,7,24,4,32
agent_interaction_openai_o4-mini-high_20250408.log,openai_o4-mini-high,7,7,0,36
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250324.log,google_gemini-2.5-pro-preview-03-25,6,23,5,32
agent_interaction_openai_o3_20250309.log,openai_o3,19,19,0,40
agent_interaction_openai_gpt-4.1_20250404.log,openai_gpt-4.1,16,18,5,36
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250318.log,anthropic_claude-3.7-sonnet:thinking,23,23,5,39
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250330.log,anthropic_claude-3.7-sonnet:thinking,26,26,10,39
agent_interaction_openai_o3_20250321.log,openai_o3,9,9,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250324.log,anthropic_claude-3.7-sonnet:thinking,20,20,7,39
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250402.log,google_gemini-2.5-pro-preview-03-25_soundings_0,5,17,0,38
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250308.log,google_gemini-2.5-flash-preview:thinking,8,22,0,16
agent_interaction_openai_o3_soundings_0_20250320.log,openai_o3_soundings_0,9,9,0,40
agent_interaction_openai_o3_soundings_0_20250308.log,openai_o3_soundings_0,8,8,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250320.log,google_gemini-2.5-flash-preview:thinking,7,44,0,16
agent_interaction_deepseek_deepseek-r1_soundings_0_20250318.log,deepseek_deepseek-r1_soundings_0,4,10,0,14
agent_interaction_deepseek_deepseek-r1_soundings_0_20250324.log,deepseek_deepseek-r1_soundings_0,2,1,0,14
agent_interaction_deepseek_deepseek-r1_soundings_0_20250330.log,deepseek_deepseek-r1_soundings_0,4,32,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250401.log,google_gemini-2.5-flash-preview:thinking_soundings_0,7,20,0,20
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250326.log,anthropic_claude-3.7-sonnet_soundings_0,20,20,0,40
agent_interaction_anthropic_claude-3.7-sonnet_20250405.log,anthropic_claude-3.7-sonnet,20,20,5,40
agent_interaction_anthropic_claude-3.7-sonnet_20250404.log,anthropic_claude-3.7-sonnet,17,17,6,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250327.log,anthropic_claude-3.7-sonnet_soundings_0,19,19,0,40
agent_interaction_deepseek_deepseek-r1_soundings_0_20250331.log,deepseek_deepseek-r1_soundings_0,7,0,0,14
agent_interaction_deepseek_deepseek-r1_soundings_0_20250325.log,deepseek_deepseek-r1_soundings_0,3,7,0,14
agent_interaction_deepseek_deepseek-r1_soundings_0_20250319.log,deepseek_deepseek-r1_soundings_0,7,7,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250321.log,google_gemini-2.5-flash-preview:thinking,3,37,0,16
agent_interaction_openai_o3_soundings_0_20250309.log,openai_o3_soundings_0,12,12,0,40
agent_interaction_openai_o3_soundings_0_20250321.log,openai_o3_soundings_0,5,5,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250309.log,google_gemini-2.5-flash-preview:thinking,4,15,0,16
agent_interaction_openai_o3_20250320.log,openai_o3,10,10,0,40
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250403.log,google_gemini-2.5-pro-preview-03-25_soundings_0,10,10,0,38
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250325.log,anthropic_claude-3.7-sonnet:thinking,22,22,5,39
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250331.log,anthropic_claude-3.7-sonnet:thinking,23,23,5,39
agent_interaction_openai_gpt-4.1_20250405.log,openai_gpt-4.1,16,19,7,36
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250319.log,anthropic_claude-3.7-sonnet:thinking,20,20,3,39
agent_interaction_openai_o3_20250308.log,openai_o3,12,12,0,40
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250325.log,google_gemini-2.5-pro-preview-03-25,2,6,0,32
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250331.log,google_gemini-2.5-pro-preview-03-25,6,19,4,32
agent_interaction_openai_o4-mini-high_20250409.log,openai_o4-mini-high,5,5,0,36
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250319.log,google_gemini-2.5-pro-preview-03-25,6,16,3,32
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250321.log,google_gemini-2.5-pro-preview-03-25,7,19,3,32
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250309.log,google_gemini-2.5-pro-preview-03-25,3,21,0,32
agent_interaction_openai_o3_20250330.log,openai_o3,15,15,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250321.log,anthropic_claude-3.7-sonnet:thinking,26,26,4,39
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250407.log,google_gemini-2.5-pro-preview-03-25_soundings_0,4,18,0,38
agent_interaction_openai_o3_20250324.log,openai_o3,15,15,1,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250309.log,anthropic_claude-3.7-sonnet:thinking,20,20,6,39
agent_interaction_openai_o3_20250318.log,openai_o3,24,24,4,40
agent_interaction_openai_gpt-4.1_20250401.log,openai_gpt-4.1,8,25,8,36
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250331.log,google_gemini-2.5-flash-preview:thinking,7,23,0,16
agent_interaction_openai_o4-mini-high_soundings_0_20250408.log,openai_o4-mini-high_soundings_0,7,7,0,38
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250325.log,google_gemini-2.5-flash-preview:thinking,8,7,0,16
agent_interaction_openai_o3_soundings_0_20250319.log,openai_o3_soundings_0,11,11,0,40
agent_interaction_openai_o3_soundings_0_20250331.log,openai_o3_soundings_0,13,13,0,40
agent_interaction_openai_gpt-4.1_soundings_0_20250409.log,openai_gpt-4.1_soundings_0,6,24,0,38
agent_interaction_openai_o3_soundings_0_20250325.log,openai_o3_soundings_0,9,9,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250319.log,google_gemini-2.5-flash-preview:thinking,6,24,3,16
agent_interaction_deepseek_deepseek-r1_soundings_0_20250321.log,deepseek_deepseek-r1_soundings_0,17,1,0,14
agent_interaction_deepseek_deepseek-r1_soundings_0_20250309.log,deepseek_deepseek-r1_soundings_0,9,31,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250404.log,google_gemini-2.5-flash-preview:thinking_soundings_0,7,32,0,20
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250323.log,anthropic_claude-3.7-sonnet_soundings_0,20,20,0,40
agent_interaction_anthropic_claude-3.7-sonnet_20250401.log,anthropic_claude-3.7-sonnet,20,20,3,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250322.log,anthropic_claude-3.7-sonnet_soundings_0,20,20,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250405.log,google_gemini-2.5-flash-preview:thinking_soundings_0,12,26,0,20
agent_interaction_deepseek_deepseek-r1_soundings_0_20250308.log,deepseek_deepseek-r1_soundings_0,3,9,0,14
agent_interaction_deepseek_deepseek-r1_soundings_0_20250320.log,deepseek_deepseek-r1_soundings_0,4,1,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250318.log,google_gemini-2.5-flash-preview:thinking,4,22,4,16
agent_interaction_openai_o3_soundings_0_20250324.log,openai_o3_soundings_0,2,2,0,40
agent_interaction_openai_gpt-4.1_soundings_0_20250408.log,openai_gpt-4.1_soundings_0,6,17,0,38
agent_interaction_openai_o3_soundings_0_20250330.log,openai_o3_soundings_0,9,9,0,40
agent_interaction_openai_o4-mini-high_soundings_0_20250409.log,openai_o4-mini-high_soundings_0,7,7,0,38
agent_interaction_openai_o3_soundings_0_20250318.log,openai_o3_soundings_0,12,12,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250324.log,google_gemini-2.5-flash-preview:thinking,5,22,2,16
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250330.log,google_gemini-2.5-flash-preview:thinking,34,32,2,16
agent_interaction_openai_o3_20250319.log,openai_o3,11,11,1,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250308.log,anthropic_claude-3.7-sonnet:thinking,20,20,5,39
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250406.log,google_gemini-2.5-pro-preview-03-25_soundings_0,5,17,0,38
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250320.log,anthropic_claude-3.7-sonnet:thinking,22,22,3,39
agent_interaction_openai_o3_20250325.log,openai_o3,16,16,0,40
agent_interaction_openai_o3_20250331.log,openai_o3,13,13,0,40
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250308.log,google_gemini-2.5-pro-preview-03-25,5,28,3,32
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250320.log,google_gemini-2.5-pro-preview-03-25,7,20,2,32
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250322.log,google_gemini-2.5-pro-preview-03-25,6,22,3,32
agent_interaction_openai_o3_20250327.log,openai_o3,21,21,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250322.log,anthropic_claude-3.7-sonnet:thinking,21,21,4,39
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250404.log,google_gemini-2.5-pro-preview-03-25_soundings_0,6,17,0,38
agent_interaction_openai_gpt-4.1_20250402.log,openai_gpt-4.1,15,30,8,36
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250326.log,google_gemini-2.5-flash-preview:thinking,6,70,0,16
agent_interaction_openai_o3_soundings_0_20250326.log,openai_o3_soundings_0,5,5,0,40
agent_interaction_deepseek_deepseek-r1_soundings_0_20250322.log,deepseek_deepseek-r1_soundings_0,3,8,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250407.log,google_gemini-2.5-flash-preview:thinking_soundings_0,16,26,0,20
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250308.log,anthropic_claude-3.7-sonnet_soundings_0,19,19,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250320.log,anthropic_claude-3.7-sonnet_soundings_0,21,21,0,40
agent_interaction_anthropic_claude-3.7-sonnet_20250403.log,anthropic_claude-3.7-sonnet,18,18,3,40
agent_interaction_anthropic_claude-3.7-sonnet_20250402.log,anthropic_claude-3.7-sonnet,26,26,5,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250321.log,anthropic_claude-3.7-sonnet_soundings_0,18,18,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250309.log,anthropic_claude-3.7-sonnet_soundings_0,21,21,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250406.log,google_gemini-2.5-flash-preview:thinking_soundings_0,3,32,0,20
agent_interaction_deepseek_deepseek-r1_soundings_0_20250323.log,deepseek_deepseek-r1_soundings_0,8,0,0,14
agent_interaction_openai_o3_soundings_0_20250327.log,openai_o3_soundings_0,13,13,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_20250327.log,google_gemini-2.5-flash-preview:thinking,4,42,0,16
agent_interaction_openai_gpt-4.1_20250403.log,openai_gpt-4.1,6,30,2,36
agent_interaction_openai_o3_20250326.log,openai_o3,9,9,1,40
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250405.log,google_gemini-2.5-pro-preview-03-25_soundings_0,4,16,0,38
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250323.log,anthropic_claude-3.7-sonnet:thinking,18,18,3,39
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250323.log,google_gemini-2.5-pro-preview-03-25,12,21,4,32
agent_interaction_deepseek_deepseek-r1_20250318.log,deepseek_deepseek-r1,24,23,4,14
agent_interaction_deepseek_deepseek-r1_20250330.log,deepseek_deepseek-r1,27,43,9,14
agent_interaction_deepseek_deepseek-r1_20250324.log,deepseek_deepseek-r1,32,26,5,14
agent_interaction_openai_o4-mini-high_20250326.log,openai_o4-mini-high,4,4,0,36
agent_interaction_openai_gpt-4.1_20250302.log,openai_gpt-4.1,8,21,6,36
agent_interaction_openai_gpt-4.1_20250316.log,openai_gpt-4.1,10,17,4,36
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250304.log,google_gemini-2.5-pro-preview-03-25_soundings_0,13,12,0,38
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250310.log,google_gemini-2.5-pro-preview-03-25_soundings_0,10,10,0,38
agent_interaction_openai_o4-mini-high_soundings_0_20250323.log,openai_o4-mini-high_soundings_0,5,5,0,38
agent_interaction_openai_gpt-4.1_soundings_0_20250322.log,openai_gpt-4.1_soundings_0,4,28,0,38
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250307.log,google_gemini-2.5-flash-preview:thinking_soundings_0,4,17,0,20
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250313.log,google_gemini-2.5-flash-preview:thinking_soundings_0,5,29,0,20
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250318.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,18,18,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250330.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,18,18,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250324.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,22,22,0,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250408.log,anthropic_claude-3.7-sonnet_soundings_0,16,16,0,40
agent_interaction_anthropic_claude-3.7-sonnet_20250317.log,anthropic_claude-3.7-sonnet,20,20,4,40
agent_interaction_anthropic_claude-3.7-sonnet_20250303.log,anthropic_claude-3.7-sonnet,17,17,3,40
agent_interaction_anthropic_claude-3.7-sonnet_20250302.log,anthropic_claude-3.7-sonnet,21,21,4,40
agent_interaction_anthropic_claude-3.7-sonnet_20250316.log,anthropic_claude-3.7-sonnet,22,22,5,40
agent_interaction_anthropic_claude-3.7-sonnet_soundings_0_20250409.log,anthropic_claude-3.7-sonnet_soundings_0,18,18,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250325.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,17,17,0,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250331.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,15,15,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250312.log,google_gemini-2.5-flash-preview:thinking_soundings_0,7,22,0,20
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250319.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,19,19,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250306.log,google_gemini-2.5-flash-preview:thinking_soundings_0,31,31,0,20
agent_interaction_openai_gpt-4.1_soundings_0_20250323.log,openai_gpt-4.1_soundings_0,13,18,0,38
agent_interaction_openai_o4-mini-high_soundings_0_20250322.log,openai_o4-mini-high_soundings_0,7,7,0,38
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250311.log,google_gemini-2.5-pro-preview-03-25_soundings_0,8,8,0,38
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250305.log,google_gemini-2.5-pro-preview-03-25_soundings_0,5,17,0,38
agent_interaction_openai_gpt-4.1_20250317.log,openai_gpt-4.1,5,18,0,36
agent_interaction_openai_gpt-4.1_20250303.log,openai_gpt-4.1,14,24,5,36
agent_interaction_openai_o4-mini-high_20250327.log,openai_o4-mini-high,5,5,0,36
agent_interaction_deepseek_deepseek-r1_20250325.log,deepseek_deepseek-r1,41,24,4,14
agent_interaction_deepseek_deepseek-r1_20250331.log,deepseek_deepseek-r1,27,29,5,14
agent_interaction_deepseek_deepseek-r1_20250319.log,deepseek_deepseek-r1,23,28,7,14
agent_interaction_deepseek_deepseek-r1_20250327.log,deepseek_deepseek-r1,30,28,10,14
agent_interaction_google_gemini-2.5-pro-preview-03-25_20250409.log,google_gemini-2.5-pro-preview-03-25,4,22,0,32
agent_interaction_openai_o4-mini-high_20250331.log,openai_o4-mini-high,5,5,0,36
agent_interaction_openai_o4-mini-high_20250325.log,openai_o4-mini-high,3,3,0,36
agent_interaction_openai_o4-mini-high_20250319.log,openai_o4-mini-high,10,10,1,36
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250409.log,anthropic_claude-3.7-sonnet:thinking,21,21,6,39
agent_interaction_openai_gpt-4.1_20250315.log,openai_gpt-4.1,6,25,6,36
agent_interaction_openai_gpt-4.1_20250301.log,openai_gpt-4.1,17,23,4,36
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250313.log,google_gemini-2.5-pro-preview-03-25_soundings_0,6,21,0,38
agent_interaction_openai_gpt-4.1_20250329.log,openai_gpt-4.1,13,18,3,36
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250307.log,google_gemini-2.5-pro-preview-03-25_soundings_0,5,15,0,38
agent_interaction_openai_o4-mini-high_soundings_0_20250320.log,openai_o4-mini-high_soundings_0,7,7,0,38
agent_interaction_openai_gpt-4.1_soundings_0_20250309.log,openai_gpt-4.1_soundings_0,7,18,0,38
agent_interaction_openai_gpt-4.1_soundings_0_20250321.log,openai_gpt-4.1_soundings_0,5,20,0,38
agent_interaction_openai_o4-mini-high_soundings_0_20250308.log,openai_o4-mini-high_soundings_0,10,10,0,38
agent_interaction_deepseek_deepseek-r1_soundings_0_20250409.log,deepseek_deepseek-r1_soundings_0,3,7,0,14
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250310.log,google_gemini-2.5-flash-preview:thinking_soundings_0,8,17,0,20
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250304.log,google_gemini-2.5-flash-preview:thinking_soundings_0,8,38,0,20
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250327.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,18,18,0,40
agent_interaction_anthropic_claude-3.7-sonnet_20250314.log,anthropic_claude-3.7-sonnet,26,26,5,40
agent_interaction_anthropic_claude-3.7-sonnet_20250328.log,anthropic_claude-3.7-sonnet,21,21,8,40
agent_interaction_anthropic_claude-3.7-sonnet_20250329.log,anthropic_claude-3.7-sonnet,18,18,6,40
agent_interaction_anthropic_claude-3.7-sonnet_20250315.log,anthropic_claude-3.7-sonnet,21,21,6,40
agent_interaction_anthropic_claude-3.7-sonnet_20250301.log,anthropic_claude-3.7-sonnet,23,23,5,40
agent_interaction_anthropic_claude-3.7-sonnet:thinking_soundings_0_20250326.log,anthropic_claude-3.7-sonnet:thinking_soundings_0,14,14,0,40
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250305.log,google_gemini-2.5-flash-preview:thinking_soundings_0,5,42,0,20
agent_interaction_google_gemini-2.5-flash-preview:thinking_soundings_0_20250311.log,google_gemini-2.5-flash-preview:thinking_soundings_0,16,16,0,20
agent_interaction_deepseek_deepseek-r1_soundings_0_20250408.log,deepseek_deepseek-r1_soundings_0,6,1,0,14
agent_interaction_openai_gpt-4.1_soundings_0_20250320.log,openai_gpt-4.1_soundings_0,6,23,0,38
agent_interaction_openai_o4-mini-high_soundings_0_20250309.log,openai_o4-mini-high_soundings_0,2,2,0,38
agent_interaction_openai_o4-mini-high_soundings_0_20250321.log,openai_o4-mini-high_soundings_0,7,7,0,38
agent_interaction_openai_gpt-4.1_soundings_0_20250308.log,openai_gpt-4.1_soundings_0,5,23,0,38
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250306.log,google_gemini-2.5-pro-preview-03-25_soundings_0,8,22,0,38
agent_interaction_google_gemini-2.5-pro-preview-03-25_soundings_0_20250312.log,google_gemini-2.5-pro-preview-03-25_soundings_0,7,21,0,38
agent_interaction_openai_gpt-4.1_20250328.log,openai_gpt-4.1,14,17,3,36
agent_interaction_anthropic_claude-3.7-sonnet:thinking_20250408.log,anthropic_claude-3.7-sonnet:thinking,22,22,7,39
agent_interaction_openai_gpt-4.1_20250314.log,openai_gpt-4.1,15,35,3,36
agent_interaction_openai_o4-mini-high_20250318.log,openai_o4-mini-high,6,6,0,36
