model,TornadoBench,TornadoHallucinationSimple,TornadoHallucinationHard,UnderforecastRate,MatchRate,OverforecastRate,CalculatedWeightedSum,TotalScoreFormula,CommonDenominator,AvgGTOverallCentroidX,AvgGTOverallCentroidY,AvgPredOverallCentroidX,AvgPredOverallCentroidY,AvgOverallCentroidDistance,AvgGTHRCentroidX,AvgGTHRCentroidY,AvgPredHRCentroidX,AvgPredHRCentroidY,AvgHRCentroidDistance
SPC,0.1831,0.2750,0.7000,5.0000,55.0000,40.0000,37.3598,(11.0000 * 1) + (0.2695 * 2) + (0.4127 * 5) + (0.3195 * 10) + (0.3594 * 15) + (0.5057 * 30),204,493414.2074,1067433.4562,435886.2554,1102123.3253,181541.5817,476539.5105,1077687.3750,401827.2447,1048020.7936,235542.4627
google_gemini-2.5-pro-preview-03-25_soundings_0,0.0742,0.3684,3.1316,13.1579,26.3158,60.5263,15.1335,(6.0000 * 1) + (0.0437 * 2) + (0.2042 * 5) + (0.2061 * 10) + (0.1153 * 15) + (0.1411 * 30),204,493414.2074,1067433.4562,795000.5911,1149901.8781,483034.2919,476539.5105,1077687.3750,789449.2871,1162976.2610,480418.7329
anthropic_claude-3.7-sonnet,0.0679,0.4000,3.3000,10.0000,22.5000,67.5000,13.8526,(6.0000 * 1) + (0.0150 * 2) + (0.1146 * 5) + (0.1237 * 10) + (0.0734 * 15) + (0.1637 * 30),204,493414.2074,1067433.4562,643992.0362,969251.4100,405197.2589,476539.5105,1077687.3750,623928.9774,939008.7944,440888.5634
openai_gpt-4.1_soundings_0,0.0679,0.4474,3.6316,10.5263,15.7895,73.6842,13.8526,(4.0000 * 1) + (0.0953 * 2) + (0.2694 * 5) + (0.1764 * 10) + (0.0266 * 15) + (0.2050 * 30),204,514143.2124,1070304.6659,515488.6052,877348.4930,420715.2434,504620.1782,1088454.8741,566476.4310,854673.8660,434528.2432
anthropic_claude-3.7-sonnet:thinking,0.0664,0.3590,3.1026,17.9487,23.0769,58.9744,13.5554,(8.0000 * 1) + (0.0021 * 2) + (0.0920 * 5) + (0.1221 * 10) + (0.0579 * 15) + (0.1001 * 30),204,486443.0340,1025047.4328,705314.0679,841041.4624,473869.3051,471195.7194,1034684.0486,618313.4777,848570.6526,493290.2843
anthropic_claude-3.7-sonnet:thinking_soundings_0,0.0659,0.3250,2.2000,22.5000,27.5000,50.0000,13.4487,(9.0000 * 1) + (0.0023 * 2) + (0.0815 * 5) + (0.0156 * 10) + (0.0775 * 15) + (0.0906 * 30),204,493414.2074,1067433.4562,564475.2359,973130.7821,509278.8826,476539.5105,1077687.3750,562202.5449,889311.5540,476163.8717
openai_gpt-4.1,0.0563,0.4444,3.6389,11.1111,19.4444,69.4444,11.4777,(5.0000 * 1) + (0.0690 * 2) + (0.2185 * 5) + (0.1904 * 10) + (0.0719 * 15) + (0.0755 * 30),204,422488.7961,986167.9633,489440.7706,826737.9071,360560.4789,396932.0686,960397.3779,513316.7254,779200.6926,377331.2983
openai_o4-mini-high_soundings_0,0.0533,0.4211,3.6053,13.1579,18.4211,68.4211,10.8713,(5.0000 * 1) + (0.0380 * 2) + (0.1252 * 5) + (0.1514 * 10) + (0.0618 * 15) + (0.0910 * 30),204,514143.2124,1070304.6659,401305.7542,1084286.0028,514021.4274,504620.1782,1088454.8741,387860.5090,1085461.8085,584930.5892
anthropic_claude-3.7-sonnet_soundings_0,0.0529,0.5250,5.3250,15.0000,10.0000,75.0000,10.7986,(1.0000 * 1) + (0.0000 * 2) + (0.1518 * 5) + (0.1359 * 10) + (0.1268 * 15) + (0.1926 * 30),204,493414.2074,1067433.4562,641718.7749,1064617.6667,481009.2459,476539.5105,1077687.3750,605138.3832,1029044.7228,446862.2219
google_gemini-2.5-pro-preview-03-25,0.0426,0.4062,4.5000,15.6250,21.8750,62.5000,8.6835,(3.0000 * 1) + (0.0000 * 2) + (0.1241 * 5) + (0.0943 * 10) + (0.0986 * 15) + (0.0881 * 30),204,481595.0969,1105737.5590,793963.3033,1322830.8471,493746.4046,462611.0630,1117273.2177,746279.3253,1296977.3468,560961.6152
openai_o4-mini-high,0.0337,0.5278,5.3889,11.1111,13.8889,75.0000,6.8702,(2.0000 * 1) + (0.0453 * 2) + (0.0366 * 5) + (0.1716 * 10) + (0.0453 * 15) + (0.0734 * 30),204,516544.7042,995924.4800,295050.0694,958319.2724,583036.4332,485840.3522,994874.1975,267963.3976,946589.2322,622707.9912
openai_o3,0.0327,0.5500,5.5000,10.0000,7.5000,82.5000,6.6680,(0.0000 * 1) + (0.0039 * 2) + (0.0524 * 5) + (0.1208 * 10) + (0.0584 * 15) + (0.1438 * 30),204,493414.2074,1067433.4562,548634.4575,914759.9817,477818.9270,476539.5105,1077687.3750,513886.7295,838151.4613,564211.8645
openai_o3_soundings_0,0.0290,0.5500,5.5500,10.0000,10.0000,80.0000,5.9140,(0.0000 * 1) + (0.0214 * 2) + (0.0419 * 5) + (0.1626 * 10) + (0.0284 * 15) + (0.1203 * 30),204,493414.2074,1067433.4562,607673.4924,916138.0874,510362.6434,476539.5105,1077687.3750,594042.6494,849903.0130,536439.2424
google_gemini-2.5-flash-preview:thinking_soundings_0,0.0228,0.7000,5.7000,10.0000,5.0000,85.0000,4.6479,(0.0000 * 1) + (0.0000 * 2) + (0.0770 * 5) + (0.1559 * 10) + (0.0347 * 15) + (0.0728 * 30),204,643353.7586,1088625.1740,761560.1937,1149402.7947,498690.7246,607194.1724,1053280.7039,745033.5869,1116371.5033,404426.5395
google_gemini-2.5-flash-preview:thinking,0.0157,0.6250,4.5000,6.2500,6.2500,87.5000,3.1949,(1.0000 * 1) + (0.0638 * 2) + (0.0315 * 5) + (0.0637 * 30),204,692512.5899,1102158.4684,855730.3305,915678.9854,601316.7712,677584.2319,1146843.6941,806139.6849,908695.5360,594885.9123
deepseek_deepseek-r1_soundings_0,0.0055,0.5000,6.7857,28.5714,7.1429,64.2857,1.1290,(0.0000 * 1) + (0.0000 * 2) + (0.0629 * 5) + (0.0294 * 10) + (0.0000 * 15) + (0.0174 * 30),204,527717.1371,1184908.3181,55023.0575,1059091.4483,622387.3813,502309.7410,1199174.6639,63302.4474,1086892.4683,696782.1108
deepseek_deepseek-r1,0.0028,0.5000,7.8571,14.2857,21.4286,64.2857,0.5808,(0.0000 * 1) + (0.0239 * 2) + (0.0000 * 5) + (0.0533 * 10) + (0.0000 * 30),204,710380.2596,1066060.0772,17097.1844,1112301.1227,733544.9038,690740.4698,1123913.8899,-31261.3952,1124733.9338,814816.4359
